codice_istat,denominazione,codice_catastale,regione,provincia,sigla_provincia,superficie_km2,popolazione_residente,popolazione_legale,zona_altimetrica,altitudine,comune_litoraneo,comune_isolano
001001,Agliè,A074,Piemonte,Torino,TO,13.1463,2585,2562,3,333,0,0
001002,Airasca,A109,Piemonte,Torino,TO,15.7393,3695,3660,5,261,0,0
001003,Ala di Stura,A117,Piemonte,Torino,TO,46.3316,463,467,1,1073,0,0
001004,Albiano d'Ivrea,A157,Piemonte,Torino,TO,11.7397,1624,1637,3,233,0,0
001006,Almese,A218,Piemonte,Torino,TO,17.8741,6297,6331,3,375,0,0
001007,Alpette,A221,Piemonte,Torino,TO,5.6311,248,240,1,961,0,0
001008,Alpignano,A222,Piemonte,Torino,TO,11.9193,16494,16501,3,339,0,0
001009,Andezeno,A275,Piemonte,Torino,TO,7.4859,1995,2036,3,278,0,0
001010,Andrate,A282,Piemonte,Torino,TO,9.309,466,474,1,842,0,0
001011,Angrogna,A295,Piemonte,Torino,TO,38.8781,804,827,1,765,0,0
001012,Arignano,A405,Piemonte,Torino,TO,8.1666,1068,1072,3,324,0,0
001013,Avigliana,A518,Piemonte,Torino,TO,23.2173,12139,12350,3,395,0,0
001014,Azeglio,A525,Piemonte,Torino,TO,9.9528,1242,1240,3,265,0,0
001015,Bairo,A584,Piemonte,Torino,TO,7.0859,787,790,3,370,0,0
001016,Balangero,A587,Piemonte,Torino,TO,13.0065,3049,3064,3,437,0,0
001017,Baldissero Canavese,A590,Piemonte,Torino,TO,4.5064,482,530,3,382,0,0
001018,Baldissero Torinese,A591,Piemonte,Torino,TO,15.4046,3734,3755,3,409,0,0
001019,Balme,A599,Piemonte,Torino,TO,62.7105,99,105,1,1441,0,0
001020,Banchette,A607,Piemonte,Torino,TO,2.0289,3112,3085,3,250,0,0
001021,Barbania,A625,Piemonte,Torino,TO,12.8027,1552,1570,3,362,0,0
001022,Bardonecchia,A651,Piemonte,Torino,TO,132.203,2871,3044,1,1291,0,0
001023,Barone Canavese,A673,Piemonte,Torino,TO,3.9864,531,556,3,341,0,0
001024,Beinasco,A734,Piemonte,Torino,TO,6.7366,17351,17464,5,266,0,0
001025,Bibiana,A853,Piemonte,Torino,TO,18.5987,3364,3378,3,412,0,0
001026,Bobbio Pellice,A910,Piemonte,Torino,TO,94.082,523,539,1,746,0,0
001027,Bollengo,A941,Piemonte,Torino,TO,14.2237,2115,2098,3,253,0,0
001028,Borgaro Torinese,A990,Piemonte,Torino,TO,11.1093,11642,11827,5,262,0,0
001029,Borgiallo,B003,Piemonte,Torino,TO,6.9647,577,582,1,570,0,0
001030,Borgofranco d'Ivrea,B015,Piemonte,Torino,TO,13.419,3457,3555,3,259,0,0
001031,Borgomasino,B021,Piemonte,Torino,TO,12.3713,763,773,3,257,0,0
001032,Borgone Susa,B024,Piemonte,Torino,TO,4.9616,2236,2151,1,395,0,0
001033,Bosconero,B075,Piemonte,Torino,TO,10.9191,3075,3066,5,246,0,0
001034,Brandizzo,B121,Piemonte,Torino,TO,6.39,8738,8701,5,189,0,0
001035,Bricherasio,B171,Piemonte,Torino,TO,22.7583,4600,4616,3,392,0,0
001036,Brosso,B205,Piemonte,Torino,TO,11.135,390,394,1,772,0,0
001037,Brozolo,B209,Piemonte,Torino,TO,8.9471,434,454,3,368,0,0
001038,Bruino,B216,Piemonte,Torino,TO,5.5702,8388,8489,3,322,0,0
001039,Brusasco,B225,Piemonte,Torino,TO,14.3591,1493,1490,3,171,0,0
001040,Bruzolo,B232,Piemonte,Torino,TO,12.5597,1478,1492,1,464,0,0
001041,Buriasco,B278,Piemonte,Torino,TO,14.6868,1299,1337,5,305,0,0
001042,Burolo,B279,Piemonte,Torino,TO,5.476,1105,1105,3,282,0,0
